Function,Min Sampling Rate (%),Max Sampling Rate (%),Average Sampling Rate (%)
update_load_avg,0.41,0.86,0.5509
sock_alloc_send_pskb,0.38,0.88,0.5394000000000002
dequeue_task_fair,0.4,0.91,0.5364999999999998
trx_prepare_for_mysql,0.15,0.92,0.5355999999999997
sysvec_apic_timer_interrupt,0.45,0.7,0.5355000000000001
folio_wait_writeback,0.26,1.49,0.5315
binlog_log_row,0.39,0.94,0.5314999999999998
dict_stats_update,0.53,0.53,0.53
THD::send_result_metadata,0.38,0.85,0.5285
folio_wait_bit,0.26,1.48,0.5227999999999999
PT_table_factor_table_ident::contextualize,0.38,0.95,0.5213
buf_flush_do_batch,0.27,1.62,0.5201
io_schedule,0.26,1.47,0.5178
futex_wake,0.36,0.8,0.5078999999999999
close_thread_table,0.35,0.84,0.4994000000000001
handler::ha_index_init,0.37,0.81,0.4961
alloc_skb_with_frags,0.34,0.83,0.49329999999999985
malloc,0.31,0.83,0.49040000000000006
buf_flush_page,0.23,1.54,0.48599999999999993
handler::ha_external_lock,0.33,0.77,0.4816000000000001
fil_aio_wait,0.24,1.3,0.48099999999999987
__alloc_skb,0.33,0.81,0.4802
MaterializeIterator<DummyIteratorProfiler>::Init,0.31,4.08,0.48019999999999996
THD::send_statement_status,0.34,0.75,0.4765000000000002
THD::cleanup_after_query,0.32,0.85,0.47010000000000013
__pthread_mutex_unlock,0.33,0.76,0.46649999999999986
dblwr::write,0.22,1.53,0.45940000000000003
buf_page_io_complete,0.22,1.1,0.4591000000000001
Double_write::enqueue,0.22,1.51,0.45510000000000006
Double_write::write_pages,0.24,1.46,0.4446000000000001
_raw_spin_lock,0.31,0.8,0.44369999999999993
__sysvec_apic_timer_interrupt,0.37,0.59,0.4399
Double_write::write_dblwr_pages,0.24,1.46,0.4388999999999998
ha_innobase::change_active_index,0.33,0.7,0.43839999999999996
sched_balance_find_src_group,0.27,0.77,0.4329999999999999
Buf_fetch<Buf_fetch_normal>::lookup,0.29,0.81,0.43290000000000023
wake_up_q,0.31,0.65,0.42430000000000023
hrtimer_interrupt,0.36,0.56,0.4234999999999998
pfs_digest_end_vc,0.29,0.68,0.4200000000000001
update_sd_lb_stats.constprop.0,0.27,0.75,0.41709999999999986
JOIN::init_planner_arrays,0.28,0.65,0.41450000000000004
cmp_dtuple_rec_with_match_low,0.29,0.74,0.40990000000000004
Query_expression::cleanup,0.27,1.52,0.40800000000000003
Query_block::add_table_to_list,0.29,0.74,0.4031
Double_write::write_complete,0.18,1.03,0.4018
Fil_system::flush_file_spaces,0.18,1.03,0.4016
Fil_shard::flush_file_spaces,0.18,1.03,0.3957
update_curr,0.28,0.68,0.38890000000000025
THD::enter_stage,0.27,0.62,0.38219999999999993
JOIN::make_tmp_tables_info,0.26,0.68,0.3814
row_mysql_handle_errors,0.05,0.58,0.38020000000000004
lock_table_names,0.27,0.62,0.37759999999999994
create_table_info_t::create_table_update_dict,0.37,0.37,0.37
dict_drop_temporary_table_index,0.37,0.37,0.37
__hrtimer_run_queues,0.3,0.49,0.36210000000000003
btr_free,0.36,0.36,0.36
dict_table_stats_lock,0.36,0.36,0.36
find_field_in_tables,0.25,0.59,0.35879999999999995
create_metadata_lock,0.25,0.61,0.35550000000000004
enqueue_entity,0.24,0.6,0.3458
xfs_log_force_seq,0.19,0.88,0.34489999999999993
dequeue_entity,0.24,0.62,0.3438000000000001
update_sg_lb_stats,0.22,0.61,0.34230000000000005
ha_innobase::info_low,0.24,0.56,0.3407999999999998
pfs_create_metadata_lock_vc,0.24,0.57,0.33790000000000014
Sql_cmd_select::precheck,0.22,0.56,0.3356
remove_eq_conds,0.23,0.59,0.33120000000000016
Sql_cmd_update::prepare_inner,0.24,0.57,0.3277000000000001
lock_wait_timeout_thread,0.13,0.43,0.3241999999999999
lex_start,0.22,0.53,0.32330000000000014
Fil_shard::space_flush,0.15,0.97,0.3208999999999999
ha_innobase::build_template,0.22,0.54,0.3200000000000001
ha_innobase::external_lock,0.22,0.53,0.3173
Table_ref::fetch_number_of_rows,0.22,0.5,0.3170000000000001
tick_nohz_highres_handler,0.26,0.42,0.3165999999999998
JOIN::join_free,0.21,0.52,0.31550000000000006
IndexRangeScanIterator::Init,0.22,0.55,0.31550000000000006
CreateIteratorFromAccessPath,0.22,0.52,0.3146
__pthread_mutex_lock,0.2,0.51,0.31339999999999985
lock_trx_release_locks,0.2,0.44,0.30619999999999997
THD::binlog_write_table_map,0.2,0.52,0.3034000000000001
btr_cur_pessimistic_insert,0.14,0.44,0.3021000000000001
Query_block::cleanup,0.2,1.44,0.30009999999999976
MaterializeIterator<DummyIteratorProfiler>::MaterializeQueryBlock,0.2,0.49,0.2994000000000001
lock_clust_rec_read_check_and_lock,0.16,0.59,0.291
tick_sched_handle,0.24,0.39,0.28919999999999996
JOIN::create_intermediate_table,0.19,0.51,0.28539999999999993
update_process_times,0.23,0.38,0.2832000000000001
