Function,Min Sampling Rate (%),Max Sampling Rate (%),Average Sampling Rate (%)
ib_pg_flush-1,0.12,0.47,0.23249999999999998
generic_file_buffered_write,0.2,0.3,0.23199999999999998
Buf_fetch_other::get,0.13,0.43,0.22999999999999998
field_conv_slow,0.11,0.45,0.22400000000000003
my_lengthsp_8bit,0.16,0.28,0.22200000000000003
Item_field::val_decimal,0.02,0.4,0.22000000000000003
hash_join_buffer::HashJoinRowBuffer::StoreLinkedImmutableStringFromTableBuffers,0.12,0.42,0.22
Query_expression::ClearForExecution,0.12,0.37,0.21666666666666667
syscall,0.08,0.26,0.21000000000000002
os_file_read_func,0.13,0.34,0.21000000000000002
Field_newdate::get_date_internal,0.13,0.31,0.20600000000000002
vfs_read,0.14,0.31,0.20400000000000001
HashJoinChunk::LoadRowFromChunk,0.11,0.36,0.2025
Field_newdate::val_date_temporal,0.17,0.27,0.202
do_sync_read,0.13,0.3,0.2
Item_field::val_int,0.13,0.27,0.198
TableRowIterator::UnlockRow,0.12,0.29,0.198
ext4_file_read,0.12,0.3,0.198
do_generic_file_read.constprop.52,0.12,0.3,0.196
generic_file_aio_read2,0.12,0.3,0.194
Item_ref::save_in_field_inner,0.09,0.39,0.19
Field_varstring::store,0.09,0.39,0.188
sys_pread64,0.12,0.32,0.18600000000000003
mutex_lock,0.15,0.24,0.186
__mutex_lock_slowpath,0.14,0.24,0.184
mtr_t::s_lock,0.11,0.27,0.184
async_page_fault,0.11,0.38,0.18
do_async_page_fault,0.11,0.38,0.18
trace_do_page_fault,0.11,0.38,0.18
__do_page_fault,0.11,0.37,0.178
memcpy@plt,0.07,0.23,0.176
temptable::Indexed_cells::cell_from_row,0.04,0.31,0.174
mtr_t::start,0.1,0.22,0.17200000000000001
Item_func_between::val_int,0.15,0.19,0.172
row_build_row_ref_in_tuple,0.08,0.3,0.16999999999999998
mtr_t::release_block_at_savepoint,0.12,0.24,0.164
calculate_key_len,0.11,0.23,0.162
decimal_actual_fraction,0.03,0.3,0.16
ib_pg_flush-3,0.11,0.19,0.14333333333333334
btr_search_info_update_slow,0.1,0.19,0.142
Buf_fetch<Buf_fetch_other>::lookup,0.08,0.25,0.142
Item_func_numhybrid::val_decimal,0.02,0.24,0.14
copy_user_enhanced_fast_string,0.11,0.18,0.14
handle_mm_fault,0.08,0.31,0.13999999999999999
thd_killed,0.11,0.2,0.138
ha_innobase::rnd_next,0.08,0.2,0.13799999999999998
__memcmp_sse4_1,0.04,0.21,0.13399999999999998
btr_cur_pessimistic_insert,0.07,0.31,0.12999999999999998
Item_field::val_str,0.06,0.18,0.12999999999999998
Item_cond_or::val_int,0.08,0.18,0.128
TIME_to_longlong_date_packed,0.07,0.19,0.128
ib_pg_flush_co,0.12,0.13,0.125
row_upd_store_row,0.02,0.31,0.124
row_mysql_store_col_in_innobase_format,0.07,0.22,0.124
btr_page_split_and_insert,0.07,0.28,0.12399999999999997
Arg_comparator::compare_string,0.09,0.19,0.11599999999999999
ut_delay,0.09,0.13,0.11599999999999999
thd_to_trx,0.05,0.15,0.11200000000000002
btr_search_drop_page_hash_index,0.07,0.16,0.11000000000000001
Arg_comparator::compare_int_signed,0.07,0.16,0.11000000000000001
Item_int::val_decimal,0.03,0.15,0.1025
Field_string::val_str,0.07,0.12,0.10200000000000001
mutex_spin_on_owner,0.07,0.12,0.10200000000000001
Field_string::pack,0.07,0.18,0.10200000000000001
mtr_t::Command::release_resources,0.07,0.14,0.1
Item_cache_datetime::val_date_temporal,0.03,0.2,0.1
buf_page_t::was_stale,0.07,0.16,0.1
my_b_flush_io_cache,0.07,0.12,0.094
decimal_is_zero,0.01,0.18,0.094
temptable::Indexed_cells::cell_from_mysql_buf_index_read,0.04,0.18,0.094
thd_to_innodb_session,0.06,0.15,0.092
dtuple_t::compare,0.05,0.13,0.092
dyn_buf_t<512ul>::push<mtr_memo_slot_t*>,0.04,0.16,0.092
_my_b_write,0.07,0.12,0.092
JOIN::reset,0.05,0.15,0.09000000000000001
ext4_da_write_begin,0.06,0.16,0.09
fsp_is_system_temporary,0.06,0.14,0.088
vfs_write,0.06,0.12,0.088
do_sync_write,0.06,0.12,0.088
mysql_encryption_file_write,0.06,0.12,0.088
sys_write,0.06,0.12,0.088
Field::unpack,0.06,0.1,0.08666666666666667
MVCC::is_view_active,0.06,0.12,0.08600000000000001
actual_key_parts,0.05,0.12,0.082
btr_cur_optimistic_insert,0.02,0.21,0.08199999999999999
dict_index_copy_rec_order_prefix,0.07,0.1,0.08
buf_is_block_in_instance,0.03,0.22,0.08
osq_lock,0.04,0.13,0.078
hash_join_buffer::LoadImmutableStringIntoTableBuffers,0.02,0.11,0.078
__alloc_pages_nodemask,0.03,0.16,0.078
EQRefIterator::Init,0.06,0.11,0.078
Cached_item_int::cmp,0.01,0.18,0.076
alloc_pages_vma,0.02,0.17,0.076
row_build,0.01,0.15,0.074
mtr_t::check_nolog_and_mark,0.04,0.1,0.072
Item_func_case::val_decimal,0.03,0.13,0.072
Item_sum_count::add,0.03,0.11,0.07
Cached_item_str::cmp,0.02,0.12,0.06999999999999999
system_call_after_swapgs,0.02,0.09,0.068
TableRowIterator::SetNullRowFlag,0.04,0.12,0.068
thd_get_thread_id,0.05,0.09,0.06799999999999999
init_tmptable_sum_functions,0.03,0.11,0.06799999999999999
Sort_param::make_sortkey,0.02,0.11,0.0675
Item_in_subselect::exec,0.03,0.13,0.06666666666666667
Item_sum_sum::reset_field,0.03,0.11,0.06400000000000002
page_dir_find_owner_slot,0.04,0.1,0.06400000000000002
Field::set_notnull,0.02,0.11,0.064
Item_date_literal::val_date_temporal,0.05,0.08,0.064
Functional_index_error_handler::~Functional_index_error_handler,0.04,0.08,0.062
Item_int_func::result_type,0.04,0.12,0.062
ha_innobase::unlock_row,0.02,0.08,0.06000000000000001
pthread_self,0.03,0.11,0.059999999999999984
Item_func_case::find_item,0.02,0.1,0.05800000000000001
binlog_log_row,0.01,0.1,0.05800000000000001
TTASEventMutex<BlockMutexPolicy>::exit,0.04,0.09,0.05800000000000001
thd_ha_data,0.04,0.08,0.055999999999999994
"robin_hood::detail::Table<true, 80ul, ImmutableStringWithLength, LinkedImmutableString, hash_join_buffer::KeyHasher, hash_join_buffer::KeyEquals>::insertKeyPrepareEmptySpot<ImmutableStringWithLength const&>",0.03,0.1,0.05500000000000001
ha_innobase::index_next_same,0.03,0.11,0.055
convert_search_mode_to_innobase,0.02,0.09,0.054000000000000006
Field_new_decimal::store_decimal,0.01,0.08,0.053333333333333344
Query_expression::clear_correlated_query_blocks,0.04,0.08,0.05333333333333334
handler::mark_trx_read_write,0.01,0.09,0.052000000000000005
dict_index_get_nth_field_pos,0.02,0.09,0.052000000000000005
buf_page_io_complete,0.02,0.09,0.052000000000000005
Item_string::val_str,0.03,0.1,0.052000000000000005
que_thr_stop_for_mysql_no_error,0.02,0.08,0.05
Field_long::type,0.01,0.09,0.05
page_cur_direct_insert_rec_low,0.01,0.12,0.05
pack_rows::RequestRowId,0.03,0.07,0.05
Field_string::unpack,0.02,0.11,0.05
Field::pack_int32,0.02,0.07,0.049999999999999996
Item_field::is_null,0.02,0.08,0.046
Field_string::type,0.01,0.08,0.046
dtuple_set_n_fields,0.01,0.07,0.046
Item_sum_count::update_field,0.03,0.05,0.045
trx_kill_blocking,0.03,0.07,0.044000000000000004
my_fill_8bit,0.01,0.11,0.044000000000000004
fsp_is_global_temporary,0.01,0.09,0.044
clear_page_c_e,0.02,0.1,0.044
Item::save_in_field_inner,0.02,0.1,0.044
Field_long::pack_length,0.03,0.06,0.044
Double_write::prepare,0.03,0.06,0.044
mem_cgroup_charge_common,0.02,0.09,0.044
buf_page_make_young,0.01,0.06,0.042499999999999996
Double_write::check_block,0.03,0.06,0.042
dict_index_copy_types,0.03,0.07,0.042
page_simple_validate_new,0.03,0.06,0.042
ha_remove_a_node_to_page,0.02,0.07,0.042
RefIterator<false>::Init,0.02,0.06,0.041999999999999996
FilterIterator::SetNullRowFlag,0.02,0.06,0.041999999999999996
Functional_index_error_handler::Functional_index_error_handler,0.02,0.06,0.04
Field::pack,0.02,0.06,0.04
__find_get_page,0.02,0.08,0.04
buf_page_init_for_read,0.01,0.07,0.04
Field::pack_length,0.03,0.05,0.04
fil_space_t::was_not_deleted,0.02,0.07,0.04
murmur3_32,0.01,0.11,0.04
mem_cgroup_newpage_charge,0.02,0.09,0.039999999999999994
