Function,Min Sampling Rate (%),Max Sampling Rate (%),Average Sampling Rate (%)
page_cur_search_with_match_bytes,0.76,1.05,0.9229999999999997
PT_select_stmt::make_cmd,0.76,1.04,0.9189999999999999
schedule,0.84,1.09,0.9164999999999999
blk_done_softirq,0.7,1.09,0.8939999999999999
btr_search_drop_page_hash_index,0.75,1.12,0.893
virtblk_request_done,0.7,1.09,0.8924999999999998
blk_mq_end_request,0.7,1.08,0.8885
__wake_up,0.67,1.03,0.8730000000000002
Buf_fetch<Buf_fetch_normal>::lookup,0.69,1.04,0.8720000000000001
page_simple_validate_new,0.7,0.98,0.8664999999999999
setup_fields,0.72,1.02,0.8660000000000002
Item_field::fix_fields,0.71,0.98,0.8540000000000003
__wait_on_bit,0.74,0.99,0.8474999999999999
mpage_submit_page,0.68,0.97,0.8470000000000001
wake_up_q,0.69,1.01,0.8459999999999999
__wake_up_bit,0.67,0.93,0.8459999999999999
optimize_cond,0.72,0.93,0.8424999999999999
ib_log_writer,0.83,0.86,0.842
try_to_wake_up,0.69,0.99,0.8365
wait_on_page_bit,0.72,0.94,0.8305000000000001
__ip_local_out_sk,0.74,0.98,0.8305
finish_task_switch,0.74,1.0,0.825
tag_pages_for_writeback,0.64,0.99,0.8235000000000001
blk_update_request,0.63,0.99,0.8205000000000002
PT_query_expression::contextualize,0.65,0.91,0.8150000000000001
bio_endio,0.62,0.98,0.8094999999999999
mpage_process_page_bufs,0.65,0.95,0.8025000000000002
fil_aio_wait,0.73,0.87,0.7975000000000001
Sql_cmd_update::prepare_inner,0.63,0.92,0.7969999999999999
generic_write_end,0.69,0.91,0.7905
ext4_end_bio,0.6,0.96,0.7904999999999999
hardware::crc32_using_pclmul,0.59,0.93,0.7895
Update_rows_log_event::binlog_row_logging_function,0.64,0.92,0.784
srv_worker_thread,0.66,0.85,0.7829999999999999
trx_coordinator::commit_in_engines,0.54,0.94,0.7819999999999998
ha_innobase::read_range_next,0.64,0.96,0.781
btr_cur_optimistic_update,0.63,0.92,0.7775000000000001
malloc,0.64,0.92,0.7755
ext4_finish_bio,0.59,0.94,0.772
log_writer,0.72,0.8,0.7705
THD::binlog_update_row,0.61,0.9,0.7625
blk_mq_make_request,0.56,0.93,0.7595000000000001
btr_cur_latch_leaves,0.6,0.96,0.756
Row_sel_get_clust_rec_for_mysql::operator,0.62,0.93,0.7559999999999998
mutex_spin_on_owner,0.61,0.97,0.7554999999999998
find_or_create_digest,0.62,0.91,0.7465
end_page_writeback,0.56,0.87,0.7435
btr_pcur_t::restore_position,0.59,0.9,0.74
ha_commit_low,0.49,0.87,0.7295
lf_hash_search,0.59,0.86,0.7274999999999999
PT_query_specification::contextualize,0.57,0.84,0.725
ext4_bio_write_page,0.57,0.85,0.7174999999999999
Query_block::setup_conds,0.58,0.84,0.7125
blk_finish_plug,0.6,0.8,0.7084999999999999
blk_flush_plug_list,0.6,0.81,0.708
lock_clust_rec_read_check_and_lock,0.58,0.83,0.7070000000000001
lock_tables,0.57,0.94,0.7019999999999998
blk_mq_flush_plug_list,0.57,0.81,0.6955000000000002
rec_init_offsets_comp_ordinary,0.59,0.85,0.6935
futex_requeue,0.59,0.83,0.6909999999999998
btr_page_split_and_insert,0.58,0.89,0.6905
sys_recvfrom,0.6,0.82,0.69
__mark_inode_dirty,0.57,0.8,0.6870000000000002
ib_log_flush,0.65,0.69,0.6774999999999999
SYSC_recvfrom,0.57,0.81,0.6769999999999999
Item_func::fix_fields,0.52,0.84,0.6695
log_flusher,0.62,0.69,0.662
get_mm_tree,0.47,0.79,0.659
block_write_end,0.59,0.76,0.6575
close_thread_tables,0.57,0.73,0.6540000000000001
update_time,0.55,0.76,0.6529999999999999
vio_read,0.5,0.84,0.648
ext4_dirty_inode,0.54,0.74,0.6465
blk_mq_sched_insert_requests,0.53,0.77,0.6464999999999999
mutex_enter_inline<PolicyMutex<TTASEventMutex<BlockMutexPolicy> > >,0.55,0.77,0.6405
__block_commit_write.isra.21,0.54,0.75,0.627
vio_socket_io_wait,0.47,0.81,0.6199999999999999
_int_free,0.51,0.73,0.6120000000000001
sock_recvmsg,0.48,0.72,0.6085
MYSQL_BIN_LOG::process_commit_stage_queue,0.4,0.72,0.6045
__ext4_journal_start_sb,0.51,0.72,0.6015
trans_commit_stmt,0.51,0.74,0.601
file_update_time,0.51,0.69,0.5954999999999999
futex_wait,0.49,0.69,0.5899999999999999
os_aio_func,0.46,0.71,0.5875000000000001
ppoll,0.45,0.77,0.5865000000000001
fill_record_n_invoke_before_triggers,0.48,0.66,0.5855
innobase_commit_low,0.39,0.71,0.5845
blk_mq_run_hw_queue,0.49,0.71,0.5845
sys_sched_yield,0.44,0.66,0.5805000000000001
inet_recvmsg,0.46,0.69,0.5755000000000001
trx_undo_assign_undo,0.45,0.73,0.573
trx_commit_for_mysql,0.4,0.7,0.572
Table_map_log_event::Table_map_log_event,0.52,0.62,0.5670000000000001
btr_cur_update_in_place,0.42,0.68,0.567
grab_cache_page_write_begin,0.46,0.69,0.565
radix_tree_lookup_slot,0.46,0.75,0.5645
find_field_in_tables,0.45,0.63,0.5519999999999999
BlockReporter::is_corrupted,0.43,0.74,0.5509999999999999
__blk_mq_delay_run_hw_queue,0.46,0.67,0.5505000000000001
